Model;Scenario;Region;Variable;Unit;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Negawatt;Negawatt_2022;France; MI;Number of dwellings;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
ADEME;ADEME_S1;France; Total_globale;Number of dwellings;850000;850000;850000;850000;850000;850000;850000;850000;850000;850000;850000;850000;850000;850000;850000;850000;850000;850000;850000;850000;850000;330000;330000;330000;330000;330000;330000;330000;330000;330000;330000
ADEME;ADEME_S1;France;Reno_performante_globale;Number of dwellings;724503;724503;724503;724503;724503;724503;724503;724503;724503;724503;752297;752297;752297;752297;752297;752297;752297;752297;752297;752297;282893;282893;282893;282893;282893;282893;282893;282893;282893;282893;282893
ADEME;ADEME_S1;France;Reno_par_gestes;Number of dwellings;124003;124003;124003;124003;124003;124003;124003;124003;124003;124003;137287;137287;137287;137287;137287;137287;137287;137287;137287;137287;54006;54006;54006;54006;54006;54006;54006;54006;54006;54006;54006
ADEME;ADEME_S1;France; LC;Number of dwellings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADEME;ADEME_S1;France; MI;Number of dwellings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADEME;ADEME_S2;France; Total_globale;Number of dwellings;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;500000;500000;500000;500000;500000;500000;500000;500000;500000;500000;500000;500000;500000;500000;500000;500000;500000;500000;500000;500000
ADEME;ADEME_S2;France; LC;Number of dwellings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADEME;ADEME_S2;France; MI;Number of dwellings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADEME;ADEME_S3;France;Total_globale;Number of dwellings;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;500000;500000;500000;500000;500000;500000;500000;500000;500000;500000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000
ADEME;ADEME_S3;France; LC;Number of dwellings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADEME;ADEME_S3;France; MI;Number of dwellings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADEME;ADEME_S4;France; Total ;Number of dwellings;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000;220000
ADEME;ADEME_S4;France; Total_globale;Number of dwellings;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000;187000
ADEME;ADEME_S4;France; LC;Number of dwellings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADEME;ADEME_S4;France; MI;Number of dwellings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
