Model;Scenario;Region;Variable;Unit;Saut_Classe_Dpe;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Collective_dwelling;MtCO2eq;4;0.20126044222726855;0.388771079227363;0.6671338397731665;0.18948543877220184;0.0;0.0;0.8495751770270271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Collective_dwelling;MtCO2eq;5;0.01577115;0.0;0.0;0.0782262;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Collective_dwelling;MtCO2eq;6;0.0071064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Collective_dwelling;MtCO2eq;sum;0.22413799222726855;0.388771079227363;0.6671338397731665;0.8745614339619652;1.244536497597715;1.612575842516261;2.514842299624802;1.987757619328479;2.470240373445358;3.203729061617776;6.4767869969505965;3.816126976059082;3.09636128346597;3.4220084423419754;3.529168310375445;4.726447301106087;4.632857373998476;3.1879141372608144;2.2371210273041635;1.94485958867071;1.3808107878250908;1.108126613659013;0.8544227827329213;0.5380261707720031;0.3829510612251198;0.261885452388778;0.14626035310069296;0.0923317688985359;0.0560020487024634;0.027739831609115095;0.015531486406742815
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Individual_dwelling;MtCO2eq;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8989083198470915;6.672762882123882;7.374543480537982;1.6693933085001997;0.0;0.0;0.0;0.0;1.8703483779882926;2.9756937672085435;2.3880501851646376;1.8413098822496943;1.159464524088099;0.8252724385419803;0.5643719728054387;0.3151959884358783;0.19897807262895995;0.12068630165999143;0.05978027167116408;0.033470876461520735
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Individual_dwelling;MtCO2eq;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.213584237485079;5.14762473242774;0.40288284397861596;0.0;2.751540359765625;0.0;0.0;7.47987375894657;10.185653167653662;9.983963721696869;7.992161497033038;7.231606773501758;3.4813343367271194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Individual_dwelling;MtCO2eq;3;0.0;0.0;0.0;0.43199573359756266;2.738784988947675;3.4518945234537517;0.9413939394363136;0.0690463528146597;0.0;10.455377577286287;13.864907603619196;5.16938201186761;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Individual_dwelling;MtCO2eq;4;0.42259313576973495;0.8555477464744141;1.4681258038768858;1.3858420638789648;0.0;0.0;5.7487615171875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Individual_dwelling;MtCO2eq;5;0.03906135;0.0;0.0;0.55272105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_Optimist_RE2020_WLC;France;Individual_dwelling;MtCO2eq;6;0.0446496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
