Model;Scenario;Region;Variable;Unit;Dpe;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051
CSTB;HRS_normal_HDS_Half;France;Collective_dwelling;MtCO2eq;5;3.2149789951999996;3.1613960119466644;3.1078130286933354;3.05423004544;3.000647062186664;2.9470640789333284;2.6045646425000553;1.9403528719446184;1.0879460302942918;0.029339830639376254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Half;France;Collective_dwelling;MtCO2eq;6;1.2301249668;1.2096228840199992;1.1891208012400005;0.9918781091328821;0.6799032467258221;0.2274384715515275;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Half;France;Collective_dwelling;MtCO2eq;7;0.29993106035104006;0.19335188021563984;0.018716637716059845;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Half;France;Collective_dwelling;MtCO2eq;sum;18.325113903176028;17.87530379202882;17.37088230457982;16.859971701026733;16.285283785044427;15.606703282620838;14.850638976615214;14.120376764596761;13.269480524179674;12.28621531836031;11.212613361338626;10.213765798000729;9.417938633414373;8.59111143321327;7.767842065913504;6.990692778104186;6.2514716304406965;5.639678828103002;5.174594704237685;4.762564783502659;4.475353366629324;4.244200769298861;4.03694529630719;3.8499822420477012;3.6794962373643156;3.521895040457604;3.374085078117609;3.2335935896244026;3.098569986006169;2.9677102513828966;2.8401459465500016
CSTB;HRS_normal_HDS_Half;France;Individual_dwelling;MtCO2eq;1;0.1698470004;0.16701621705999972;0.16418543372000027;0.16392173259;0.16104591271999977;0.15817009285000025;0.19456559694;0.19096253032999969;0.1873594637200003;0.2891289940320735;0.42045481495413906;0.4693382493800009;0.45975991775999997;0.45018158613999915;0.5931999829614379;0.7835842696420712;0.9609981290840146;1.118468250660792;1.2509314598243049;1.2956212243333307;1.2640207066666693;1.3061801702603035;1.3371137543407077;1.34839806133022;1.3441379387841015;1.3281981778575964;1.3039070663017958;1.273924977302266;1.2402429070919005;1.2042638094028835;1.1669220804999991
CSTB;HRS_normal_HDS_Half;France;Individual_dwelling;MtCO2eq;2;1.6871989512999999;1.6590789687783325;1.6309589862566676;1.6106699969;1.5824126285333326;1.5541552601666675;1.5488496461623977;1.5221410503800017;1.4934214079200008;1.46470176546;1.4359821230000016;1.5620500703850009;1.53017149752;1.4982929246550019;1.466414351790001;1.4345357789250002;1.4026572060600018;1.3707786331950012;1.3389000603300028;1.489799496462857;1.7872326008763282;1.5544464748231699;1.3183842964366244;1.1421630982814621;1.013281753712057;0.9199702169374627;0.8520923388975729;0.8015460739817374;0.7622679336625358;0.7299852861192601;0.7018524700000035
CSTB;HRS_normal_HDS_Half;France;Individual_dwelling;MtCO2eq;3;16.013780358565736;15.630123687993215;15.276818357910587;14.930452110407666;14.681607040321037;14.514064089372223;14.119388463960002;14.186774715705011;14.408285720208028;14.045848158420002;13.639712450000001;13.611888682918922;14.492854823303675;15.457791973465929;14.28882981981163;12.419109291901675;10.646589961251516;9.020718939576218;7.5773987373076555;6.3361284508533515;5.299871827237208;4.980359256599999;4.753305277239999;4.531480374719998;4.314884549039999;4.103517800199999;3.8973801282000036;3.696471533040004;3.5007920147200027;3.310341573240003;3.1251202787999994
CSTB;HRS_normal_HDS_Half;France;Individual_dwelling;MtCO2eq;4;14.02368903;13.7899608795;13.556232729;13.3225045785;13.088776428;12.8550482775;12.621320127;12.3875919765;12.153863826;10.483236626562633;8.409569100625367;6.049570128386689;3.4563832998006228;0.7117696771039831;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Half;France;Individual_dwelling;MtCO2eq;5;4.8272734272;4.746818870079996;4.666364312960003;4.58590975584;4.5054551987199964;4.4250006415999925;3.391370676760089;1.9730152330358632;0.14050894945797718;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Half;France;Individual_dwelling;MtCO2eq;6;2.0640417776;2.029641081306665;1.9952403850133342;1.708682400881675;1.0304533683383583;0.04305568953341537;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Half;France;Individual_dwelling;MtCO2eq;7;0.8712514387811847;0.6331881774250644;0.24535757507919698;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Half;France;Individual_dwelling;MtCO2eq;sum;39.65708198384692;38.65582788214327;37.53515777993979;36.32214057511934;35.049750576632725;33.5494940510223;31.875494510822488;30.260485505950875;28.383439367306007;26.282915544474708;23.90571848857951;21.692847131070614;19.9391695383843;18.118036161364913;16.34844415456307;14.637229340468746;13.010245296395533;11.509965823432012;10.167230257461963;9.121549171649539;8.351125134780204;7.840985901683473;7.408803328017331;7.02204153433168;6.672304241536158;6.351686194995057;6.053379533399372;5.771942584324007;5.503302855474439;5.244590668762147;4.993894829300002
CSTB;HRS_normal_HDS_Half;France;Residential_dwelling;MtCO2eq;1;0.304281032;0.29920968146666616;0.2941383309333338;0.29199737984999996;0.28687461879999954;0.28175185775000045;0.32154576102;0.31559120988999945;0.3096366587600005;0.4090547045520735;0.5961480506208054;0.6415176203333346;0.628425424;0.6153332276666654;0.7812446487261371;1.0599138314939962;1.3197186705042978;1.5161972931774594;1.639410989724305;1.6748512416166632;1.6694991892271502;1.7404893469981957;1.7895624593499333;1.8100574292234946;1.8079443957615489;1.7888443572212855;1.7575980149231167;1.7180746472934494;1.6731699829514033;1.6249244945038415;1.5746971789999986
CSTB;HRS_normal_HDS_Half;France;Residential_dwelling;MtCO2eq;2;2.6573925183;2.6131026429949986;2.5688127676900017;2.5344746589950002;2.490010191293332;2.445545723591668;2.4439619853823977;2.4006772351700025;2.355381438280001;2.31008564139;2.2730753453904695;2.568207402366668;2.5157950064000003;2.4633826104333365;2.4109702144666683;2.3585578185000005;2.306145422533336;2.3582524375879883;2.522720203978717;2.8315536201510083;3.0317149721451706;2.6491425609841373;2.295853557294587;2.0295979875158876;1.8321940642589238;1.6865232928313765;1.5778435373938569;1.4943710863749535;1.4272871298891991;1.3703775013611956;1.3195034370500047
CSTB;HRS_normal_HDS_Half;France;Residential_dwelling;MtCO2eq;3;22.14432035079072;21.6156767967164;21.130829269194344;20.664769622006517;20.330997043612978;20.115123910683202;19.63295013377516;19.75896210450715;20.106659870693406;19.944239463190932;19.381744486000002;19.27466226522272;20.57495162081811;21.99702208819031;20.92407135728377;18.209450468578936;15.635852833798594;13.275194920769565;11.179693767996625;9.377709093384528;8.125264340037209;7.6955547630000005;7.36033260768;7.0323683596399995;6.71166201888;6.3982135854;6.092023059200008;5.793090440280007;5.501415728640006;5.2169989242800066;4.9398401598
CSTB;HRS_normal_HDS_Half;France;Residential_dwelling;MtCO2eq;4;20.36860032;20.029123648000002;19.689646976;19.350170304000002;19.010693632;18.67121696;18.331740288;17.992263616;17.652786944;15.876411223062632;12.867363967906858;9.42222564114862;5.637936120580562;1.633409668287872;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Half;France;Residential_dwelling;MtCO2eq;5;8.042252422399999;7.908214882026661;7.774177341653338;7.64013980128;7.50610226090666;7.372064720533321;5.995935319260145;3.9133681049804814;1.228454979752269;0.029339830639376254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CSTB;HRS_normal_HDS_Half;France;Residential_dwelling;MtCO2eq;6;3.2941667444;3.239263965326664;3.1843611862533345;2.700560510014557;1.7103566150641805;0.27049416108494284;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
