Model;Scenario;Region;Variable;Unit;Programmation;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_rising_BAU_RE2020_WLC_HDS_Constant_WLC;France;Collective_dwelling;MtCO2eq;New_construction;6.527052081849867;6.527052081849867;8.049916669279563;6.527052081849696;8.049916669279733;5.556814610223389;5.556814610223536;5.556814610223389;5.115797577666112;6.30939414619209;5.115797577666112;3.3135836111699994;4.32196691906275;4.321966919062636;4.32196691906275;3.3135836111699994;4.321966919062636;4.32196691906275;3.3135836111699994;3.3135836111699994;4.32196691906275;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_rising_BAU_RE2020_WLC_HDS_Constant_WLC;France;Collective_dwelling;MtCO2eq;Renovation;0.11230355345;0.14731855694499998;0.204844651655;0.28442615498499996;0.39414411644999997;0.4402532748685136;0.45606421967229765;0.624766850513514;0.7826161195540543;1.055322046560811;1.6299639671756747;1.1325645092555416;1.2069107130405403;1.522401312486486;1.8732722066554048;2.8915525822106796;4.065765149073118;2.965232860885134;2.2263968661176348;2.3676502781891884;2.5164584993648638;2.6697896688215534;4.090928760648647;4.196076309202701;4.274804204290539;3.845769222306823;2.917188309567567;2.9379457617432427;2.9530017215810807;2.963885037418918;2.971732737702702
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_rising_BAU_RE2020_WLC_HDS_Constant_WLC;France;Individual_dwelling;MtCO2eq;Demolition;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751;0.30167751
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_rising_BAU_RE2020_WLC_HDS_Constant_WLC;France;Individual_dwelling;MtCO2eq;New_construction;4.258522363501857;4.258522363501857;5.252103052123604;4.258522363501745;5.252103052123714;3.526588832274883;3.526588832274976;3.526588832274883;3.160622066661535;3.898045233997987;3.160622066661535;2.117110617305;2.761385595083236;2.7613855950831634;2.761385595083236;2.117110617305;2.7613855950831634;2.761385595083236;2.117110617305;2.117110617305;2.761385595083236;2.117110617305;2.117110617305;2.117110617305;2.117110617305;2.117110617305;2.117110617305;2.117110617305;2.117110617305;2.117110617305;2.117110617305
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_rising_BAU_RE2020_WLC_HDS_Constant_WLC;France;Individual_dwelling;MtCO2eq;Renovation;0.26019601043;0.324196078745;0.4507906823;0.6259214458;0.8673719029499999;0.992669606096875;1.2953049279179687;1.337381605765625;1.6308591408007813;2.19913896875;4.036153853154297;2.9268779641640625;2.600933247644531;3.2808261184453125;5.973014154919921;8.059169025351563;9.390063527148438;7.654262939286133;4.7133797225;5.102366115390625;5.42305284578125;7.569710752719726;8.816089303042968;9.04268581303125;9.212347077257812;9.337883246015625;9.42995863039453;8.633543310186523;6.363818197070312;6.387272108171875;6.404184167421875
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_rising_BAU_RE2020_WLC_HDS_Constant_WLC;France;Residential_dwelling;MtCO2eq;Demolition;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945;0.37970945
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_rising_BAU_RE2020_WLC_HDS_Constant_WLC;France;Residential_dwelling;MtCO2eq;New_construction;10.785574445351724;10.785574445351724;13.302019721403166;10.785574445351441;13.302019721403447;9.083403442498273;9.083403442498511;9.083403442498273;8.276419644327646;10.207439380190078;8.276419644327646;5.430694228475;7.083352514145986;7.083352514145799;7.083352514145986;5.430694228475;7.083352514145799;7.083352514145986;5.430694228475;5.430694228475;7.083352514145986;5.430694228475;5.430694228475;5.430694228475;5.430694228475;5.430694228475;5.430694228475;5.430694228475;5.430694228475;5.430694228475;5.430694228475
CSTB;BAU_construction_BAU_RE2020_upfront_HRS_rising_BAU_RE2020_WLC_HDS_Constant_WLC;France;Residential_dwelling;MtCO2eq;Renovation;0.37249956388;0.47151463568999996;0.6556353339550001;0.910347600785;1.2615160194;1.4329228809653887;1.7513691475902664;1.962148456279139;2.4134752603548355;3.254461015310811;5.666117820329972;4.059442473419605;3.807843960685071;4.803227430931798;7.846286361575326;10.950721607562244;13.455828676221557;10.619495800171268;6.939776588617635;7.470016393579813;7.939511345146114;10.23950042154128;12.907018063691616;13.23876212223395;13.48715128154835;13.183652468322448;12.347146939962098;11.571489071929765;9.316819918651394;9.351157145590793;9.375916905124576
CSTB;BAU_construction_BAU_RE2020_upfront_MRS_normal_BAU_RE2020_WLC_HDS_Constant_WLC;France;Collective_dwelling;MtCO2eq;Demolition;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194;0.07803194
CSTB;BAU_construction_BAU_RE2020_upfront_MRS_normal_BAU_RE2020_WLC_HDS_Constant_WLC;France;Collective_dwelling;MtCO2eq;New_construction;6.527052081849867;6.527052081849867;8.049916669279563;6.527052081849696;8.049916669279733;5.556814610223389;5.556814610223536;5.556814610223389;5.115797577666112;6.30939414619209;5.115797577666112;3.3135836111699994;4.32196691906275;4.321966919062636;4.32196691906275;3.3135836111699994;4.321966919062636;4.32196691906275;3.3135836111699994;3.3135836111699994;4.32196691906275;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994;3.3135836111699994
