ffo_bat_usage_niveau_1_txt;code_departement_insee;periode_construction;sum_batiment;sum_logement;sum_logement_vacant;sum_logement_loue;sum_logement_sociaux;sum_hlm;sum_logement_proprio;sum_shab;sum_sloc
Résidentiel collectif;16;P5;183;2089;272;1557;437;437;96;106841;136200
Résidentiel collectif;16;P6;179;1321;185;770;530;525;87;70230;85884
Résidentiel collectif;16;;393;3316;500;2518;1295;1285;265;188186;242497
Résidentiel collectif;17;P0;4263;17340;3225;9350;328;173;3634;913277;1222394
Résidentiel collectif;17;P1;389;1460;199;643;19;14;543;71746;95942
Résidentiel collectif;17;P2;1938;16394;1384;9318;6257;5805;5136;1050345;1336889
Résidentiel collectif;17;P3;1267;18443;1520;9025;5406;4695;7207;975500;1282554
Résidentiel collectif;17;P4;1063;16152;1449;9234;2913;2565;4565;746362;1056055
Résidentiel collectif;17;P5;608;7431;935;5098;1155;946;1174;395470;533947
Résidentiel collectif;17;P6;566;9778;882;5940;2901;2632;1511;517265;698723
Résidentiel collectif;17;;956;11101;912;5298;2952;2310;4553;598412;775509
Résidentiel collectif;18;P0;3223;11963;3623;6029;214;214;2063;645663;951572
Résidentiel collectif;18;P1;375;1606;405;939;296;296;238;83545;120813
Résidentiel collectif;18;P2;632;9402;2328;5521;3662;3460;1444;565854;716023
Résidentiel collectif;18;P3;533;10686;1987;7206;5212;4921;1183;688801;859390
Résidentiel collectif;18;P4;218;2086;379;1457;517;517;234;121918;165173
Résidentiel collectif;18;P5;144;1729;242;1380;299;299;102;96943;123323
Résidentiel collectif;18;P6;131;1378;151;985;637;637;108;81469;96198
Résidentiel collectif;18;;128;1634;433;879;397;391;267;103079;130220
Résidentiel collectif;19;P0;3034;9806;3093;4203;93;93;2229;565107;881290
Résidentiel collectif;19;P1;1354;4289;1217;1830;181;181;1138;245221;389538
Résidentiel collectif;19;P2;2079;8904;1934;4496;1171;1171;2278;564522;825886
Résidentiel collectif;19;P3;1045;7742;1633;4158;2304;2304;1622;487716;683597
Résidentiel collectif;19;P4;415;3996;573;2599;1107;1107;684;234889;313852
Résidentiel collectif;19;P5;204;1957;265;1364;133;133;236;114165;158423
Résidentiel collectif;19;P6;175;1001;189;626;225;225;115;59930;90720
Résidentiel collectif;19;;273;1816;349;985;362;362;330;107619;150094
Résidentiel collectif;21;P0;5859;28269;5734;14111;569;551;7643;1566185;2386819
Résidentiel collectif;21;P1;936;5165;727;2603;524;523;1734;302837;439869
Résidentiel collectif;21;P2;1449;27042;2956;15328;10008;9911;8387;1729521;2235710
Résidentiel collectif;21;P3;1107;31620;2830;17886;10543;10516;10456;2025780;2586723
Résidentiel collectif;21;P4;835;17053;1628;10621;4257;4047;4573;957669;1263136
Résidentiel collectif;21;P5;456;7738;600;5407;2384;2384;1657;486371;674810
Résidentiel collectif;21;P6;566;11020;1009;6823;4361;3794;1771;622512;855287
Résidentiel collectif;21;;582;10655;1240;5732;2741;2437;3520;614790;811227
Résidentiel collectif;22;P0;3208;12718;2852;6536;184;184;2848;645849;909923
Résidentiel collectif;22;P1;853;3646;725;1591;169;169;1113;182186;257756
Résidentiel collectif;22;P2;1218;10432;1650;5755;3276;3276;2776;637370;822945
Résidentiel collectif;22;P3;1048;15980;2933;8070;7415;7415;3924;861829;1121628
Résidentiel collectif;22;P4;1143;10533;1449;5931;1612;1612;2631;528615;711141
Résidentiel collectif;22;P5;665;7205;692;4885;917;917;1368;395108;514277
Résidentiel collectif;22;P6;426;4030;468;2758;1636;1636;424;239654;302622
Résidentiel collectif;22;;557;5462;688;2953;1142;1142;1635;321394;411627
Résidentiel collectif;23;P0;1504;4818;1808;1939;53;53;912;270936;421397
Résidentiel collectif;23;P1;206;746;292;296;0;0;133;42705;67711
Résidentiel collectif;23;P2;331;2874;690;1826;1400;1400;274;178562;239210
Résidentiel collectif;23;P3;239;3125;490;2026;1798;1798;347;201513;249338
Résidentiel collectif;23;P4;112;893;278;510;331;331;80;49068;61816
Résidentiel collectif;23;P5;42;212;38;136;37;37;34;12492;16877
Résidentiel collectif;23;P6;61;242;34;142;35;35;23;13540;18490
Résidentiel collectif;23;;149;859;193;478;350;350;164;56019;72055
Résidentiel collectif;24;P0;3757;13633;3736;7345;202;202;2162;734668;1049501
Résidentiel collectif;24;P1;434;1530;347;839;192;192;276;82567;116091
Résidentiel collectif;24;P2;966;6750;1179;4003;1833;1771;1307;444227;579631
Résidentiel collectif;24;P3;793;7347;1192;4734;2352;2317;1056;443780;580500
Résidentiel collectif;24;P4;487;3925;570;2678;865;865;523;232836;308550
Résidentiel collectif;24;P5;230;3761;407;2648;615;610;374;204761;277382
Résidentiel collectif;24;P6;230;1611;331;1017;588;577;114;90488;110484
Résidentiel collectif;24;;236;2308;345;1501;406;406;282;130311;180498
Résidentiel collectif;25;P0;9226;37593;7682;17971;353;293;10860;2559699;3880801
Résidentiel collectif;25;P1;1668;6739;1100;3257;209;207;2209;447694;676396
Résidentiel collectif;25;P2;3139;37034;4894;21341;11736;9588;10347;2457611;3331153
Résidentiel collectif;25;P3;2087;28056;2892;15851;7222;7222;8780;1777586;2302712
Résidentiel collectif;25;P4;1677;16293;2018;9562;2762;2591;4408;1020996;1437544
Résidentiel collectif;25;P5;1057;9349;949;6136;1664;1310;2147;628679;911972
Résidentiel collectif;25;P6;1157;9783;790;5486;1352;993;2298;618672;892154
Résidentiel collectif;25;;917;8785;1119;4827;1666;1594;2673;586534;813439
Résidentiel collectif;26;P0;6962;24882;5757;12839;746;746;5691;1540428;2245630
Résidentiel collectif;26;P1;947;3192;543;1527;173;173;1059;209380;303319
Résidentiel collectif;26;P2;2403;28305;3800;15462;8322;8293;8651;1886280;2397344
Résidentiel collectif;26;P3;1335;15542;2061;8515;5444;5352;4707;1086746;1406527
Résidentiel collectif;26;P4;1350;10772;1280;6987;3054;3042;2284;693468;933381
Résidentiel collectif;26;P5;1068;8656;1026;5479;2018;2018;1830;572455;795753
Résidentiel collectif;26;P6;879;7972;759;4928;3273;3273;1285;522302;739503
Résidentiel collectif;26;;884;7913;1049;4192;1389;1348;2483;529383;726946
Résidentiel collectif;27;P0;2399;9955;2820;5837;150;137;1129;481808;657858
Résidentiel collectif;27;P1;147;768;244;442;108;108;73;36707;48227
Résidentiel collectif;27;P2;1019;15107;2734;10792;9221;8008;1331;878920;1120935
Résidentiel collectif;27;P3;717;17421;2663;12957;11726;11538;1610;1075023;1280306
Résidentiel collectif;27;P4;644;9131;1246;6945;4565;3735;854;524646;652994
Résidentiel collectif;27;P5;437;5784;729;4192;2158;2117;605;348815;441819
Résidentiel collectif;27;P6;298;3805;457;2760;1691;1673;270;227434;272994
Résidentiel collectif;27;;335;5743;976;3933;2727;2510;747;329738;415442
Résidentiel collectif;28;P0;2301;9333;2265;5030;161;161;1786;479272;692740
Résidentiel collectif;28;P1;141;713;293;322;16;16;88;33769;48908
Résidentiel collectif;28;P2;723;13468;1699;10124;8754;8716;1563;818227;1060312
Résidentiel collectif;28;P3;630;16930;2300;12049;9690;9392;2315;1041067;1332611
Résidentiel collectif;28;P4;405;5412;650;3620;1289;1227;1039;297532;397465
Résidentiel collectif;28;P5;355;5520;670;3954;1400;1400;740;312672;425190
Résidentiel collectif;28;P6;315;4523;630;2776;1853;1853;389;266364;366213
Résidentiel collectif;28;;290;4000;575;2635;1394;1395;768;234730;312054
Résidentiel collectif;29;P0;5050;20958;4899;10713;579;513;4692;1028574;1397257
Résidentiel collectif;29;P1;1872;7600;1618;3466;153;151;2262;382063;513496
Résidentiel collectif;29;P2;4439;45140;5563;25594;13057;13057;13124;2880516;3674348
Résidentiel collectif;29;P3;2153;31889;3911;16305;10071;9944;10652;1909478;2443086
Résidentiel collectif;29;P4;1722;17617;1860;11799;6599;5844;3172;896428;1120379
Résidentiel collectif;29;P5;1150;12203;1005;7912;3361;3361;2021;684438;901256
Résidentiel collectif;29;P6;813;8311;720;5212;3565;3565;1102;477647;639896
Résidentiel collectif;29;;781;8632;1055;4898;2220;2220;2472;509872;632947
Résidentiel collectif;2A;2021;1;2;0;0;0;0;1;112;122
Résidentiel collectif;2A;P0;4631;15778;2994;2926;39;33;8735;802204;1126104
Résidentiel collectif;2A;P1;711;3505;600;944;22;22;1783;215768;283597
Résidentiel collectif;2A;P2;1043;12836;1491;5212;1357;1357;5422;880916;1097822
Résidentiel collectif;2A;P3;1559;16474;1742;5050;1547;1414;8670;1075020;1434040
Résidentiel collectif;2A;P4;600;4833;592;1875;1060;836;2089;309570;423233
Résidentiel collectif;2A;P5;487;4443;514;1817;468;427;1900;282986;395181
Résidentiel collectif;2A;P6;505;6356;870;2140;901;901;2554;396699;605294
Résidentiel collectif;2A;;469;4487;501;1616;639;632;2153;312301;389953
Résidentiel collectif;2B;P0;7815;25871;4782;4465;115;71;14739;1338295;1899360
Résidentiel collectif;2B;P1;600;2683;523;632;63;55;1371;171037;220827
Résidentiel collectif;2B;P2;1091;7952;1237;2986;1164;1155;3384;517487;659159
Résidentiel collectif;2B;P3;2076;17933;2225;6877;3147;3122;7890;1124332;1426386
Résidentiel collectif;2B;P4;917;7197;849;2927;592;564;3008;440773;601158
Résidentiel collectif;2B;P5;937;9855;1171;3576;579;567;3635;564696;797509
Résidentiel collectif;2B;P6;695;6613;754;2318;531;483;2837;403903;597438
Résidentiel collectif;2B;;522;4101;652;1661;1004;993;1612;260956;331253
Résidentiel collectif;30;P0;14032;50356;10893;23265;543;377;14445;3005031;4253099
Résidentiel collectif;30;P1;1432;5006;973;2400;454;450;1453;308919;426793
Résidentiel collectif;30;P2;3527;35710;4420;20392;12901;12604;10274;2330531;3004488
Résidentiel collectif;30;P3;2907;38859;3606;16196;9180;8592;18261;2038795;2845442
Résidentiel collectif;30;P4;2218;17845;2289;10617;3557;3115;4259;1042370;1420164
Résidentiel collectif;30;P5;1588;13419;1566;8420;2301;2022;2486;777308;1072348
Résidentiel collectif;30;P6;1289;11147;1403;6405;3122;2668;1406;667417;948766
Résidentiel collectif;30;;1709;12618;1837;6206;2095;1977;4203;774274;1068252
Résidentiel collectif;31;P0;9650;51086;9801;28029;932;932;11653;2827424;3911381
Résidentiel collectif;31;P1;1764;8356;1361;4495;1286;1286;2299;460979;608777
Résidentiel collectif;31;P2;4967;62806;6906;35764;14576;14576;18855;3960434;4972453
Résidentiel collectif;31;P3;3573;69337;7455;40568;13720;13722;19677;3974242;5180452
Résidentiel collectif;31;P4;3142;70241;7286;43193;11927;11927;18590;3628641;4806171
Résidentiel collectif;31;P5;2178;50506;5455;37053;14269;14267;6886;2816878;3832021
Résidentiel collectif;31;P6;2578;67324;8031;42290;20592;20592;5834;3639651;4944887
Résidentiel collectif;31;;1617;26285;2776;17274;5598;5598;5846;1452399;1885415
Résidentiel collectif;32;P0;1765;5998;1611;3254;65;65;970;384932;525009
Résidentiel collectif;32;P1;64;243;60;110;6;6;32;15097;18639
Résidentiel collectif;32;P2;512;2923;462;1893;1250;1250;415;193875;244719
Résidentiel collectif;32;P3;475;3560;576;2090;1002;1002;622;205693;266808
Résidentiel collectif;32;P4;419;2180;335;1348;353;353;282;125184;157052
Résidentiel collectif;32;P5;287;2605;366;1803;377;377;244;150747;189382
Résidentiel collectif;32;P6;161;923;122;573;363;363;76;52168;67808
Résidentiel collectif;32;;237;1413;242;924;182;182;218;84148;106084
Résidentiel collectif;33;P0;16953;73669;12618;44981;1519;1473;14035;4040978;5363963
Résidentiel collectif;33;P1;1461;5804;844;2960;220;220;1746;303029;389645
Résidentiel collectif;33;P2;2544;46013;3729;28908;16786;16727;12623;3014699;3655564
Résidentiel collectif;33;P3;2554;70262;5607;43981;24781;24499;18842;3936684;4962802
Résidentiel collectif;33;P4;2380;42400;3235;28236;9439;9316;9301;2236050;2818956
Résidentiel collectif;33;P5;1909;40906;2981;31492;10070;9653;5110;2272744;2908720
Résidentiel collectif;33;P6;2557;59028;4344;39500;17794;17477;6862;3281565;4373418
Résidentiel collectif;33;;1479;23648;2245;15347;5810;5810;5535;1321309;1661548
Résidentiel collectif;34;2021;1;5;0;0;0;0;0;356;450
Résidentiel collectif;34;P0;14829;61788;13829;29561;954;937;16204;3536782;5020948
Résidentiel collectif;34;P1;1828;7201;1278;3155;296;296;2469;410193;555395
Résidentiel collectif;34;P2;4530;49164;6062;23901;10047;9925;17684;3126910;3947089
Résidentiel collectif;34;P3;4279;85602;7197;28441;9906;9841;47271;3855882;5518277
Résidentiel collectif;34;P4;3767;53730;6410;29740;9551;9390;15456;2742840;3922167
Résidentiel collectif;34;P5;2757;37472;4379;24563;7349;7005;6929;2056347;3057917
Résidentiel collectif;34;P6;2733;52332;7183;28827;14798;14443;9403;2923641;4350420
Résidentiel collectif;34;;3743;58160;6404;25839;7759;7368;24437;3019196;4164612
Résidentiel collectif;35;2021;1;28;3;18;0;0;7;1312;1612
Résidentiel collectif;35;P0;5964;27891;5336;13543;504;502;7972;1434747;2084794
Résidentiel collectif;35;P1;1234;7375;1320;3524;394;385;2269;365006;512505
Résidentiel collectif;35;P2;2609;44030;4628;26739;16353;16297;11854;2765212;3488822
Résidentiel collectif;35;P3;1967;39319;3382;23469;14319;14270;11871;2406632;3048304
Résidentiel collectif;35;P4;2376;40698;3943;26348;10368;10344;9712;2137755;2774802
Résidentiel collectif;35;P5;1472;29068;2623;19557;8326;7530;6156;1685031;2247217
Résidentiel collectif;35;P6;1427;31679;2508;18735;3120;2976;6253;1871226;2537601
Résidentiel collectif;35;;1025;14937;1700;8698;3897;3884;4191;866045;1125370
Résidentiel collectif;36;P0;1548;4847;1706;2197;149;149;844;259255;405089
Résidentiel collectif;36;P1;214;711;221;311;19;19;163;36873;56176
Résidentiel collectif;36;P2;510;7171;1416;4808;4444;4435;796;451697;566613
Résidentiel collectif;36;P3;388;6600;982;4745;4275;4232;779;418494;519543
Résidentiel collectif;36;P4;190;2300;398;1712;1514;1515;119;134303;168552
Résidentiel collectif;36;P5;90;859;178;446;254;254;79;53946;75726
Résidentiel collectif;36;P6;60;408;29;271;246;246;24;24164;34730
Résidentiel collectif;36;;146;1847;378;1224;1010;993;215;105836;148702
Résidentiel collectif;37;2021;1;2;0;0;0;0;0;100;164
Résidentiel collectif;37;P0;3850;16437;3294;9557;320;255;3178;784956;1119098
Résidentiel collectif;37;P1;621;2614;417;1530;73;37;613;125278;176865
Résidentiel collectif;37;P2;1656;34335;3498;23427;9358;8270;6981;2113736;2638135
Résidentiel collectif;37;P3;944;28062;2687;19835;9670;7938;5242;1680471;2131923
Résidentiel collectif;37;P4;741;14963;1637;10556;3644;3076;2566;809034;1087574
Résidentiel collectif;37;P5;379;8518;773;5870;1535;1074;1427;503009;675113
Résidentiel collectif;37;P6;543;11703;1376;7168;2628;2355;1463;644987;859945
Résidentiel collectif;37;;309;7089;817;4680;1991;1424;1517;381360;497301
Résidentiel collectif;38;P0;11404;50079;10191;23437;1808;1784;15139;3028958;4401651
Résidentiel collectif;38;P1;2199;15775;2639;7395;1487;1487;5420;941887;1312293
Résidentiel collectif;38;P2;5069;94521;10624;46113;23192;22452;35952;5974734;7446669
Résidentiel collectif;38;P3;4011;80623;8201;35415;27021;25794;34586;4906253;6228939
Résidentiel collectif;38;P4;2706;39234;4169;21645;10374;10066;11806;2307118;3123653
Résidentiel collectif;38;P5;2229;28096;2741;16308;8019;7082;8355;1761730;2467661
Résidentiel collectif;38;P6;2116;27961;3189;13181;8427;7628;6952;1740581;2475574
Résidentiel collectif;38;;1790;25534;3012;11959;6513;6242;9837;1602883;2107236
Résidentiel collectif;39;P0;6956;23601;5801;9845;105;105;7128;1687168;2627853
Résidentiel collectif;39;P1;725;2329;479;943;46;46;834;162213;256341
Résidentiel collectif;39;P2;1447;12259;1760;7232;1772;1769;3035;818637;1104033
Résidentiel collectif;39;P3;1233;12178;1800;6014;1774;1770;3734;748284;993665
Résidentiel collectif;39;P4;655;3955;542;2207;370;370;938;268736;365346
Résidentiel collectif;39;P5;398;2209;337;1203;35;35;600;152465;211046
Résidentiel collectif;39;P6;435;1730;220;782;11;11;438;129830;189845
Résidentiel collectif;39;;368;2806;481;1395;332;332;842;191973;270942
Résidentiel collectif;40;P0;2192;7975;1907;4005;83;72;1760;488132;656183
Résidentiel collectif;40;P1;516;1805;279;668;0;0;760;106201;146183
Résidentiel collectif;40;P2;1243;8964;1074;4174;2195;1894;3127;563869;682172
Résidentiel collectif;40;P3;1085;15615;1453;5117;1770;1721;7979;695404;960940
Résidentiel collectif;40;P4;831;10904;893;4868;953;948;4265;582578;779492
Résidentiel collectif;40;P5;658;8887;953;5120;829;829;2438;494698;683344
Résidentiel collectif;40;P6;670;8203;806;4160;1716;1677;1604;475223;679538
Résidentiel collectif;40;;457;6371;628;2394;539;456;2933;320439;424088
Résidentiel collectif;41;P0;2036;7766;1864;4200;153;153;1541;409585;610840
Résidentiel collectif;41;P1;165;622;130;313;6;6;158;32642;49368
Résidentiel collectif;41;P2;590;9429;1462;6640;5831;5831;1195;594918;781447
Résidentiel collectif;41;P3;479;9880;1469;6406;5556;5538;1780;658445;835225
Résidentiel collectif;41;P4;262;3415;461;2295;1063;1057;571;204036;268241
Résidentiel collectif;41;P5;138;2179;266;1583;531;510;305;120497;158199
Résidentiel collectif;41;P6;113;1194;263;707;616;616;91;68041;93101
Résidentiel collectif;41;;183;2205;350;1584;1158;1145;234;133060;174158
Résidentiel collectif;42;P0;14666;65020;16902;31120;2366;2366;15502;4275741;6228749
Résidentiel collectif;42;P1;2364;11780;2695;5684;2138;2138;3182;758930;1065429
