ffo_bat_usage_niveau_1_txt;ffo_bat_mat_mur_txt;code_departement_insee;periode_construction;sum_batiment;sum_logement;sum_logement_vacant;sum_logement_loue;sum_logement_sociaux;sum_hlm;sum_logement_proprio;sum_shab;sum_sloc
Résidentiel collectif;agglo;21;P6;4;44;12;19;9;9;8;3991;4566
Résidentiel collectif;agglo;22;P0;188;847;173;322;11;11;322;42315;57542
Résidentiel collectif;agglo;22;P1;152;661;106;288;0;0;239;34171;48289
Résidentiel collectif;agglo;22;P2;524;4243;654;2523;1666;1666;962;259587;332572
Résidentiel collectif;agglo;22;P3;482;7985;1536;4271;4152;4152;1633;446478;563204
Résidentiel collectif;agglo;22;P4;124;1635;277;742;369;369;465;77157;108845
Résidentiel collectif;agglo;22;P5;43;652;57;479;164;164;109;36985;55095
Résidentiel collectif;agglo;22;P6;20;319;81;232;238;238;5;16313;19503
Résidentiel collectif;agglo;23;P0;26;83;41;28;0;0;12;4840;7633
Résidentiel collectif;agglo;23;P1;10;31;14;11;0;0;5;1852;2721
Résidentiel collectif;agglo;23;P2;93;1403;314;1036;1138;1138;41;88781;110456
Résidentiel collectif;agglo;23;P3;103;1969;287;1349;1320;1320;129;128830;152202
Résidentiel collectif;agglo;23;P4;3;83;61;7;60;60;1;3466;5270
Résidentiel collectif;agglo;24;P0;95;316;71;193;0;0;49;16765;24186
Résidentiel collectif;agglo;24;P1;48;175;35;93;11;11;25;8425;11024
Résidentiel collectif;agglo;24;P2;133;1165;184;648;238;238;290;76464;96648
Résidentiel collectif;agglo;24;P3;91;770;200;468;149;149;83;41454;56028
Résidentiel collectif;agglo;24;P4;39;574;69;428;45;45;73;30579;38722
Résidentiel collectif;agglo;24;P5;18;892;69;569;131;126;52;45121;63654
Résidentiel collectif;agglo;24;P6;1;2;0;2;0;0;0;134;215
Résidentiel collectif;agglo;25;P0;573;2153;448;991;18;18;648;148657;221886
Résidentiel collectif;agglo;25;P1;272;966;183;456;8;8;305;63147;92640
Résidentiel collectif;agglo;25;P2;1353;20083;2154;12298;7585;5984;5410;1276962;1742130
Résidentiel collectif;agglo;25;P3;649;6917;717;3190;1219;1219;2863;383129;506856
Résidentiel collectif;agglo;25;P4;188;1719;231;1019;361;275;449;97879;128679
Résidentiel collectif;agglo;25;P5;56;574;23;448;225;193;99;37337;49389
Résidentiel collectif;agglo;25;P6;35;475;48;319;155;23;102;31711;44085
Résidentiel collectif;agglo;26;P0;327;1277;346;689;41;41;205;69741;102367
Résidentiel collectif;agglo;26;P1;57;189;29;77;3;3;79;11622;16388
Résidentiel collectif;agglo;26;P2;370;3420;424;1702;458;448;1243;223096;280850
Résidentiel collectif;agglo;26;P3;239;1987;190;1124;763;721;583;134267;172018
Résidentiel collectif;agglo;26;P4;25;282;21;161;123;123;50;19687;26228
Résidentiel collectif;agglo;26;P5;10;60;8;42;36;36;9;4111;5911
Résidentiel collectif;agglo;26;P6;12;182;7;138;168;168;1;12478;17917
Résidentiel collectif;agglo;27;P0;88;382;97;218;0;0;63;19357;26242
Résidentiel collectif;agglo;27;P1;24;206;93;101;9;9;10;8618;10973
Résidentiel collectif;agglo;27;P2;351;5525;1166;3875;3570;3336;456;310363;388233
Résidentiel collectif;agglo;27;P3;219;4889;874;3360;2778;2733;614;291848;355227
Résidentiel collectif;agglo;27;P4;120;2391;228;2066;1864;1677;76;140218;166541
Résidentiel collectif;agglo;27;P5;18;322;43;262;147;147;17;19216;25372
