ffo_bat_usage_niveau_1_txt;ffo_bat_mat_mur_txt;code_departement_insee;periode_construction;sum_batiment;sum_logement;sum_logement_vacant;sum_logement_loue;sum_logement_sociaux;sum_hlm;sum_logement_proprio;sum_shab;sum_sloc
Résidentiel collectif;beton;85;P1;12;78;19;22;0;0;37;4031;5605
Résidentiel collectif;beton;85;P2;118;3944;188;2000;1729;1729;1698;236481;297672
Résidentiel collectif;beton;85;P3;183;7209;442;2689;2395;2393;3941;336550;425764
Résidentiel collectif;beton;85;P4;10;245;21;62;33;33;159;9609;12604
Résidentiel collectif;beton;85;P5;4;94;5;67;35;35;22;6570;8362
Résidentiel collectif;beton;85;P6;1;5;1;4;5;5;0;404;456
Résidentiel collectif;beton;86;P0;35;190;53;121;0;0;14;8179;11016
Résidentiel collectif;beton;86;P1;15;81;18;52;0;0;9;3685;5265
Résidentiel collectif;beton;86;P2;156;4992;684;3472;3182;2834;775;337345;406088
Résidentiel collectif;beton;86;P3;126;4779;545;3441;2613;2411;633;279129;368541
Résidentiel collectif;beton;86;P4;39;993;134;632;150;100;112;50211;60870
Résidentiel collectif;beton;86;P5;5;168;9;74;39;39;9;8084;10198
Résidentiel collectif;beton;86;P6;7;253;34;172;58;58;19;14286;17571
Résidentiel collectif;beton;87;P0;42;217;59;111;28;28;25;12685;17470
Résidentiel collectif;beton;87;P1;32;232;31;94;24;24;101;15899;22258
Résidentiel collectif;beton;87;P2;230;6224;720;3569;2395;2395;1662;389606;490221
Résidentiel collectif;beton;87;P3;243;8416;894;5274;3413;3413;1955;517767;654104
Résidentiel collectif;beton;87;P4;11;352;74;262;66;66;16;12227;16007
Résidentiel collectif;beton;87;P5;6;223;14;192;123;123;17;14901;19230
Résidentiel collectif;beton;87;P6;3;143;6;120;16;16;16;7932;12832
Résidentiel collectif;beton;88;P0;77;285;69;132;0;0;71;19980;31310
Résidentiel collectif;beton;88;P1;37;155;41;57;0;0;45;12001;18011
Résidentiel collectif;beton;88;P2;220;3003;467;2071;1954;1954;378;200200;244521
Résidentiel collectif;beton;88;P3;176;5013;515;3873;4020;4020;499;324690;385633
Résidentiel collectif;beton;88;P4;6;38;5;21;5;5;10;2698;3223
Résidentiel collectif;beton;88;P5;3;105;10;46;62;31;31;8369;12223
Résidentiel collectif;beton;88;P6;1;21;0;21;0;0;0;1846;2281
Résidentiel collectif;beton;89;P0;54;259;60;148;4;4;43;14829;21476
Résidentiel collectif;beton;89;P1;25;102;26;38;18;18;35;6324;9437
Résidentiel collectif;beton;89;P2;155;4990;682;3748;3770;3263;528;319633;382513
Résidentiel collectif;beton;89;P3;151;5794;541;4290;3891;3851;706;372581;418787
Résidentiel collectif;beton;89;P4;20;329;25;271;200;200;33;20021;26408
Résidentiel collectif;beton;89;P5;2;71;5;59;0;0;7;5051;6169
Résidentiel collectif;beton;89;P6;5;250;4;246;250;250;0;18147;21648
Résidentiel collectif;beton;90;P0;41;395;82;257;190;11;56;16930;22974
Résidentiel collectif;beton;90;P1;25;144;17;66;1;1;60;10021;14859
Résidentiel collectif;beton;90;P2;44;1330;233;586;540;413;465;98425;119829
Résidentiel collectif;beton;90;P3;70;3119;405;2447;2391;2077;244;226954;263524
Résidentiel collectif;beton;90;P4;6;318;153;130;75;0;34;15119;17711
Résidentiel collectif;beton;90;P5;1;4;3;0;0;0;1;421;444
Résidentiel collectif;beton;91;P0;107;671;76;321;45;45;251;35573;48617
Résidentiel collectif;beton;91;P1;73;314;53;147;27;27;111;14893;21164
Résidentiel collectif;beton;91;P2;921;64103;4651;42288;37884;34898;16743;4317973;5364901
Résidentiel collectif;beton;91;P3;642;35783;3720;20484;17802;17735;11208;2278760;2927735
Résidentiel collectif;beton;91;P4;70;2191;134;1384;1427;1427;350;115857;149076
Résidentiel collectif;beton;91;P5;30;920;75;688;566;547;144;58449;79435
Résidentiel collectif;beton;91;P6;39;1392;152;809;654;602;400;87594;113727
Résidentiel collectif;beton;92;P0;219;3406;321;1401;5;5;1599;179140;234416
Résidentiel collectif;beton;92;P1;496;12785;1270;7239;1956;1600;4011;604791;742715
Résidentiel collectif;beton;92;P2;1751;97302;6621;59933;45187;43399;29576;5831588;7112621
Résidentiel collectif;beton;92;P3;903;63003;3995;38324;26418;24988;19803;4026738;5201879
Résidentiel collectif;beton;92;P4;232;13681;981;8847;5770;5423;3572;820576;1056147
Résidentiel collectif;beton;92;P5;40;1065;57;731;379;373;274;72987;95307
Résidentiel collectif;beton;92;P6;45;1713;73;604;134;96;657;105505;146131
Résidentiel collectif;beton;93;P0;187;2013;384;1050;289;289;537;87152;121048
Résidentiel collectif;beton;93;P1;346;5549;773;3760;1817;1795;931;223526;277181
Résidentiel collectif;beton;93;P2;1316;94872;7907;71685;65740;60670;14581;5585728;6685346
Résidentiel collectif;beton;93;P3;771;63787;4737;44204;39454;35189;14401;4107097;4995346
Résidentiel collectif;beton;93;P4;190;8145;954;4776;3908;3484;2144;450897;584333
Résidentiel collectif;beton;93;P5;43;1959;184;1317;919;919;445;123779;158532
Résidentiel collectif;beton;93;P6;39;1242;315;499;582;570;243;63292;81578
Résidentiel collectif;beton;94;P0;177;1786;246;905;114;114;603;77749;99108
Résidentiel collectif;beton;94;P1;322;5023;560;3166;1486;1486;1215;216527;263307
Résidentiel collectif;beton;94;P2;1607;94177;6784;58889;46241;38501;27448;5693748;6862182
Résidentiel collectif;beton;94;P3;903;58776;3934;36145;28494;23265;17334;3793917;4687272
Résidentiel collectif;beton;94;P4;70;2347;144;1681;1473;1388;504;150176;190991
Résidentiel collectif;beton;94;P5;32;1132;95;644;318;318;385;74407;101966
Résidentiel collectif;beton;94;P6;22;647;87;410;374;374;131;33371;51525
Résidentiel collectif;beton;95;P0;52;313;50;162;52;52;93;17389;22683
Résidentiel collectif;beton;95;P1;59;453;62;229;37;37;153;24107;32901
Résidentiel collectif;beton;95;P2;619;39301;2910;25258;19936;19630;10889;2438184;2946681
Résidentiel collectif;beton;95;P3;350;29199;2200;18419;16206;15925;8378;1963240;2380857
Résidentiel collectif;beton;95;P4;64;2014;152;1472;1016;1016;382;117064;141532
Résidentiel collectif;beton;95;P5;28;880;119;579;282;282;154;52762;70149
Résidentiel collectif;beton;95;P6;38;1618;112;833;766;582;397;94058;120296
Résidentiel collectif;bois;01;P0;67;211;49;117;22;22;41;14247;20391
Résidentiel collectif;bois;01;P1;3;8;2;2;0;0;4;422;890
Résidentiel collectif;bois;01;P2;11;64;11;44;40;40;7;3926;5398
Résidentiel collectif;bois;01;P3;9;53;18;20;7;7;14;2735;3610
Résidentiel collectif;bois;01;P4;1;2;1;0;0;0;1;139;257
Résidentiel collectif;bois;01;P5;1;2;1;0;0;0;1;134;134
Résidentiel collectif;bois;01;P6;1;4;0;3;0;0;1;416;543
Résidentiel collectif;bois;02;P0;10;40;7;24;0;0;9;1836;2637
Résidentiel collectif;bois;02;P1;2;8;2;6;0;0;0;544;685
Résidentiel collectif;bois;02;P2;1;4;2;1;0;0;1;117;145
Résidentiel collectif;bois;02;P3;1;3;1;2;0;0;0;205;265
Résidentiel collectif;bois;02;P4;1;14;1;13;14;14;0;1073;1404
Résidentiel collectif;bois;03;P0;44;150;53;78;0;0;15;8602;13161
Résidentiel collectif;bois;03;P1;5;24;2;20;0;0;2;1137;1468
Résidentiel collectif;bois;03;P2;5;14;4;8;0;0;2;755;1180
Résidentiel collectif;bois;03;P6;1;2;0;0;0;0;0;80;84
Résidentiel collectif;bois;04;P0;33;117;22;26;3;0;63;7124;10444
Résidentiel collectif;bois;04;P1;3;10;1;1;0;0;4;729;874
Résidentiel collectif;bois;04;P2;8;29;4;6;0;0;17;1832;2468
Résidentiel collectif;bois;04;P3;8;35;13;6;0;0;15;1695;2119
Résidentiel collectif;bois;04;P4;2;6;0;4;0;0;2;280;393
Résidentiel collectif;bois;04;P5;1;3;0;0;0;0;2;76;134
Résidentiel collectif;bois;04;P6;2;7;0;1;0;0;3;428;588
Résidentiel collectif;bois;05;P0;128;400;51;54;0;0;244;24770;35795
Résidentiel collectif;bois;05;P1;11;62;4;3;0;0;53;3328;3938
Résidentiel collectif;bois;05;P2;43;119;17;16;0;0;78;6968;10723
Résidentiel collectif;bois;05;P3;21;109;7;3;0;0;84;5586;6894
Résidentiel collectif;bois;05;P4;3;8;1;0;0;0;6;450;465
Résidentiel collectif;bois;05;P5;2;41;39;0;0;0;2;2013;2094
Résidentiel collectif;bois;06;P0;137;1186;168;468;44;44;509;67593;89113
Résidentiel collectif;bois;06;P1;44;290;36;95;0;0;145;16073;23325
Résidentiel collectif;bois;06;P2;29;305;37;124;65;65;134;16321;20623
Résidentiel collectif;bois;06;P3;15;127;10;29;0;0;85;8001;10338
Résidentiel collectif;bois;06;P4;2;82;5;6;0;0;66;4879;8631
Résidentiel collectif;bois;06;P5;2;9;1;2;0;0;5;657;822
Résidentiel collectif;bois;06;P6;1;3;0;0;0;0;3;180;329
Résidentiel collectif;bois;07;P0;43;159;39;67;7;7;50;8555;12529
Résidentiel collectif;bois;07;P1;2;4;0;0;0;0;4;144;179
Résidentiel collectif;bois;07;P2;5;52;3;16;0;0;33;3299;4103
Résidentiel collectif;bois;07;P3;4;8;2;4;0;0;2;518;623
Résidentiel collectif;bois;07;P5;2;10;1;5;5;5;1;716;818
Résidentiel collectif;bois;07;P6;1;12;4;8;12;12;0;770;1056
Résidentiel collectif;bois;08;P0;37;141;43;82;23;23;14;7941;11274
Résidentiel collectif;bois;08;P1;1;2;0;1;0;0;0;80;93
Résidentiel collectif;bois;08;P2;3;8;0;5;0;0;3;402;681
Résidentiel collectif;bois;08;P3;2;14;5;7;12;12;2;706;1324
Résidentiel collectif;bois;09;P0;70;253;63;146;0;0;32;13888;18371
Résidentiel collectif;bois;09;P1;1;2;1;1;0;0;0;160;170
Résidentiel collectif;bois;09;P2;10;47;6;8;0;0;24;2505;3379
Résidentiel collectif;bois;09;P3;10;94;22;21;0;0;47;3491;4240
Résidentiel collectif;bois;09;P4;4;439;16;3;0;0;416;17594;21303
Résidentiel collectif;bois;09;P5;3;13;0;13;13;13;0;922;1331
Résidentiel collectif;bois;09;P6;1;19;18;1;19;19;0;514;589
Résidentiel collectif;bois;10;P0;447;1991;709;957;94;91;292;96362;134194
Résidentiel collectif;bois;10;P1;13;42;4;27;4;4;9;2135;3094
Résidentiel collectif;bois;10;P2;8;130;10;115;104;104;3;8649;10407
Résidentiel collectif;bois;10;P3;1;57;4;53;57;57;0;4473;5015
Résidentiel collectif;bois;10;P4;1;3;0;3;0;0;0;128;198
Résidentiel collectif;bois;11;P0;39;128;50;61;0;0;16;6597;8555
Résidentiel collectif;bois;11;P1;2;4;0;2;0;0;2;217;241
Résidentiel collectif;bois;11;P2;45;116;6;12;0;0;84;5180;6615
Résidentiel collectif;bois;11;P3;7;30;1;8;0;0;13;1403;1845
Résidentiel collectif;bois;11;P4;1;7;2;5;0;0;0;571;571
Résidentiel collectif;bois;11;P5;1;4;2;2;0;0;0;109;109
Résidentiel collectif;bois;12;P0;49;161;49;76;9;9;33;10567;16974
Résidentiel collectif;bois;12;P1;7;20;4;5;0;0;10;1082;1959
Résidentiel collectif;bois;12;P2;8;24;6;5;0;0;11;1421;2145
Résidentiel collectif;bois;12;P3;6;16;4;3;0;0;9;1144;1865
Résidentiel collectif;bois;12;P6;2;6;1;0;0;0;5;529;629
Résidentiel collectif;bois;13;P0;98;474;87;235;34;22;135;23789;30555
Résidentiel collectif;bois;13;P1;13;59;6;26;0;0;24;3329;3987
Résidentiel collectif;bois;13;P2;18;208;21;77;12;12;108;13377;17455
Résidentiel collectif;bois;13;P3;7;51;0;37;27;27;12;3871;4645
Résidentiel collectif;bois;13;P4;2;9;5;2;0;0;1;565;684
Résidentiel collectif;bois;13;P5;1;4;0;0;0;0;3;177;196
Résidentiel collectif;bois;13;P6;1;7;1;3;0;0;0;588;633
Résidentiel collectif;bois;14;P0;145;584;112;217;0;0;242;30091;39643
Résidentiel collectif;bois;14;P1;6;32;2;4;0;0;26;1618;2077
Résidentiel collectif;bois;14;P2;9;40;8;25;0;0;7;1985;2606
Résidentiel collectif;bois;14;P3;7;78;5;6;0;0;67;4139;5086
Résidentiel collectif;bois;14;P4;3;37;10;25;5;5;1;971;1378
Résidentiel collectif;bois;14;P5;4;101;6;94;98;98;1;6582;7629
Résidentiel collectif;bois;14;P6;3;11;0;4;0;0;7;1455;1684
Résidentiel collectif;bois;15;P0;52;205;57;109;8;8;39;11034;15820
Résidentiel collectif;bois;15;P1;4;10;3;3;0;0;4;578;892
Résidentiel collectif;bois;15;P2;1;2;2;0;0;0;0;202;317
Résidentiel collectif;bois;15;P3;3;14;0;8;8;8;4;1103;1430
Résidentiel collectif;bois;15;P4;1;3;3;0;0;0;0;108;108
Résidentiel collectif;bois;16;P0;8;30;9;13;0;0;8;1665;2076
Résidentiel collectif;bois;16;P6;2;16;2;12;9;9;2;1080;1165
Résidentiel collectif;bois;17;P0;18;59;15;33;0;0;5;3239;4278
Résidentiel collectif;bois;17;P1;2;4;0;2;0;0;2;194;297
Résidentiel collectif;bois;17;P2;4;10;0;3;0;0;5;420;990
Résidentiel collectif;bois;17;P3;3;42;6;26;0;0;10;1411;1717
Résidentiel collectif;bois;17;P4;2;7;0;7;0;0;0;537;631
Résidentiel collectif;bois;17;P5;1;10;4;6;4;4;0;606;680
Résidentiel collectif;bois;18;P0;53;227;62;123;0;0;38;11430;15938
Résidentiel collectif;bois;18;P1;3;12;3;8;0;0;0;532;570
Résidentiel collectif;bois;18;P3;3;20;6;14;12;12;0;1202;1505
Résidentiel collectif;bois;19;P0;40;141;38;72;0;0;24;7863;11130
Résidentiel collectif;bois;19;P1;12;38;11;13;5;5;14;1966;2542
Résidentiel collectif;bois;19;P2;6;15;4;6;0;0;5;840;1266
Résidentiel collectif;bois;19;P3;2;7;2;5;0;0;0;473;741
Résidentiel collectif;bois;19;P5;14;54;2;10;0;0;1;2366;3358
Résidentiel collectif;bois;21;P0;52;230;72;104;6;6;46;12547;18917
Résidentiel collectif;bois;21;P1;2;9;0;4;0;0;5;530;669
Résidentiel collectif;bois;21;P2;1;2;0;0;0;0;2;85;162
Résidentiel collectif;bois;21;P3;1;2;0;0;0;0;2;112;137
Résidentiel collectif;bois;22;P0;31;107;26;66;0;0;12;4934;7163
Résidentiel collectif;bois;22;P1;1;4;0;3;0;0;1;448;703
Résidentiel collectif;bois;22;P2;5;12;3;7;2;2;2;778;934
Résidentiel collectif;bois;22;P3;1;8;0;5;0;0;3;485;782
Résidentiel collectif;bois;22;P4;3;7;3;1;0;0;3;404;528
Résidentiel collectif;bois;22;P5;1;3;0;0;0;0;3;122;168
Résidentiel collectif;bois;23;P0;14;44;19;16;0;0;9;2267;3649
Résidentiel collectif;bois;23;P2;1;2;1;0;0;0;1;156;315
Résidentiel collectif;bois;24;P0;20;67;24;30;0;0;9;3351;4576
Résidentiel collectif;bois;24;P1;1;5;3;0;0;0;2;380;680
Résidentiel collectif;bois;24;P2;1;2;1;1;0;0;0;121;310
Résidentiel collectif;bois;24;P3;1;2;1;0;0;0;1;120;190
Résidentiel collectif;bois;24;P6;2;10;0;2;0;0;8;334;432
Résidentiel collectif;bois;25;P0;505;1773;384;740;33;33;569;126704;183573
Résidentiel collectif;bois;25;P1;40;141;25;61;0;0;52;9368;14199
Résidentiel collectif;bois;25;P2;20;239;15;207;181;181;17;16466;21391
Résidentiel collectif;bois;25;P3;20;85;9;49;32;32;22;6169;8392
Résidentiel collectif;bois;25;P4;7;19;1;10;0;0;6;1617;2765
Résidentiel collectif;bois;25;P5;4;57;3;52;46;46;2;3955;5355
Résidentiel collectif;bois;25;P6;3;23;0;10;0;0;13;1699;2519
Résidentiel collectif;bois;26;P0;26;100;50;37;0;0;11;5456;7618
Résidentiel collectif;bois;26;P1;4;12;2;8;0;0;1;813;1411
Résidentiel collectif;bois;26;P2;8;30;10;11;0;0;6;1927;2683
Résidentiel collectif;bois;26;P3;2;5;0;1;0;0;4;402;540
Résidentiel collectif;bois;26;P4;1;3;0;1;0;0;0;135;256
Résidentiel collectif;bois;26;P6;1;15;0;15;15;15;0;1267;1399
Résidentiel collectif;bois;27;P0;266;980;285;572;0;0;108;43617;59176
Résidentiel collectif;bois;27;P1;4;15;6;7;0;0;2;721;829
Résidentiel collectif;bois;27;P2;4;16;4;8;0;0;4;638;771
Résidentiel collectif;bois;27;P3;8;66;9;52;39;39;5;3516;4213
Résidentiel collectif;bois;27;P4;6;141;19;121;129;22;1;10329;11791
Résidentiel collectif;bois;27;P5;2;16;0;16;16;16;0;1233;1413
Résidentiel collectif;bois;27;P6;1;86;6;80;86;86;0;5943;7629
Résidentiel collectif;bois;28;P0;88;353;101;168;5;5;68;16720;22333
Résidentiel collectif;bois;28;P1;1;5;4;1;0;0;0;339;428
Résidentiel collectif;bois;28;P2;2;152;29;121;149;149;2;7361;8174
Résidentiel collectif;bois;28;P4;2;7;4;2;0;0;1;368;496
Résidentiel collectif;bois;29;P0;29;109;27;49;3;3;30;4989;7189
Résidentiel collectif;bois;29;P1;7;25;3;19;0;0;2;1145;1646
Résidentiel collectif;bois;29;P2;6;17;3;9;0;0;5;1092;1176
Résidentiel collectif;bois;29;P3;4;20;7;6;0;0;6;771;1240
Résidentiel collectif;bois;29;P4;1;2;1;0;0;0;1;78;78
Résidentiel collectif;bois;29;P5;2;6;2;2;0;0;2;265;325
Résidentiel collectif;bois;29;P6;1;12;0;12;12;12;0;780;1398
Résidentiel collectif;bois;2A;P0;27;134;13;31;0;0;80;8839;11535
Résidentiel collectif;bois;2A;P1;1;9;2;1;0;0;6;660;866
Résidentiel collectif;bois;2A;P2;5;167;18;82;0;0;60;11137;13771
Résidentiel collectif;bois;2A;P3;2;4;0;0;0;0;4;330;390
Résidentiel collectif;bois;2A;P5;2;8;0;3;0;0;4;494;524
Résidentiel collectif;bois;2A;P6;2;7;0;1;0;0;5;364;489
Résidentiel collectif;bois;2B;P0;29;77;12;7;0;0;50;3609;5255
Résidentiel collectif;bois;2B;P1;1;2;0;0;0;0;2;105;105
Résidentiel collectif;bois;2B;P2;3;26;6;6;0;0;13;1742;2251
Résidentiel collectif;bois;2B;P3;1;72;4;13;0;0;54;6404;9448
Résidentiel collectif;bois;2B;P4;1;2;1;0;0;0;1;225;225
Résidentiel collectif;bois;30;P0;39;180;41;74;10;10;34;10536;14369
Résidentiel collectif;bois;30;P1;1;2;1;1;0;0;0;180;219
Résidentiel collectif;bois;30;P2;8;55;4;26;0;0;25;3391;4819
Résidentiel collectif;bois;30;P3;2;87;3;80;85;85;4;6284;6476
Résidentiel collectif;bois;30;P6;3;10;4;4;0;0;2;757;990
Résidentiel collectif;bois;31;P0;215;1170;261;649;3;3;226;59603;81832
Résidentiel collectif;bois;31;P1;32;128;18;79;10;10;28;7394;9653
Résidentiel collectif;bois;31;P2;28;128;19;69;12;12;38;7485;9594
Résidentiel collectif;bois;31;P3;15;202;18;151;29;29;28;8479;11264
Résidentiel collectif;bois;31;P4;2;68;3;34;0;0;31;3478;3628
Résidentiel collectif;bois;32;P0;30;96;32;52;0;0;9;6200;7549
Résidentiel collectif;bois;32;P2;1;2;0;1;0;0;1;164;192
Résidentiel collectif;bois;32;P3;5;20;3;12;0;0;5;1239;1429
Résidentiel collectif;bois;32;P4;1;6;3;3;0;0;0;414;492
Résidentiel collectif;bois;33;P0;143;634;101;379;8;8;146;32073;40764
Résidentiel collectif;bois;33;P1;26;108;14;32;0;0;59;5492;7314
Résidentiel collectif;bois;33;P2;41;249;21;166;119;119;53;14066;16525
Résidentiel collectif;bois;33;P3;19;617;55;379;336;336;140;32595;39108
Résidentiel collectif;bois;33;P4;10;41;14;14;0;0;8;2057;2661
Résidentiel collectif;bois;33;P5;7;178;5;157;155;155;7;11733;12859
Résidentiel collectif;bois;33;P6;7;84;2;54;45;45;1;4758;5911
Résidentiel collectif;bois;34;P0;46;194;36;86;5;5;67;11185;15900
Résidentiel collectif;bois;34;P1;8;38;8;24;0;0;6;2146;2453
Résidentiel collectif;bois;34;P2;9;54;12;32;0;0;10;3150;4277
Résidentiel collectif;bois;34;P3;12;354;35;140;19;19;175;13306;16521
Résidentiel collectif;bois;34;P4;3;49;2;46;39;39;1;3537;4013
Résidentiel collectif;bois;34;P5;1;2;0;2;0;0;0;140;140
Résidentiel collectif;bois;34;P6;2;12;2;9;0;0;1;957;983
Résidentiel collectif;bois;35;P0;120;773;231;387;0;0;138;34084;49829
Résidentiel collectif;bois;35;P1;7;30;3;14;0;0;12;1449;1871
Résidentiel collectif;bois;35;P2;6;57;0;38;30;30;18;3989;5420
Résidentiel collectif;bois;35;P3;1;3;0;3;0;0;0;179;179
Résidentiel collectif;bois;35;P4;1;23;2;9;0;0;12;1669;2435
Résidentiel collectif;bois;35;P5;5;81;10;71;79;79;0;4655;5577
Résidentiel collectif;bois;35;P6;3;29;3;8;0;0;1;1934;2110
Résidentiel collectif;bois;36;P0;10;32;11;17;0;0;4;2099;3321
Résidentiel collectif;bois;36;P1;1;2;0;0;0;0;2;48;66
Résidentiel collectif;bois;36;P2;1;6;0;4;0;0;0;138;150
Résidentiel collectif;bois;36;P3;3;12;4;8;5;5;0;499;530
Résidentiel collectif;bois;37;P0;48;204;35;125;9;5;40;9187;12325
Résidentiel collectif;bois;37;P1;5;22;2;18;0;0;2;961;1241
Résidentiel collectif;bois;37;P2;6;20;4;12;0;0;4;1014;1485
Résidentiel collectif;bois;37;P4;1;5;0;0;0;0;5;129;175
Résidentiel collectif;bois;37;P5;1;6;0;6;6;6;0;366;366
Résidentiel collectif;bois;38;P0;70;298;61;133;34;34;95;16031;22808
Résidentiel collectif;bois;38;P1;19;82;15;31;0;0;31;6084;7957
Résidentiel collectif;bois;38;P2;26;260;34;112;47;47;110;17708;22717
Résidentiel collectif;bois;38;P3;14;222;12;124;125;125;39;13249;16703
Résidentiel collectif;bois;38;P4;3;46;2;7;0;0;4;1594;2313
Résidentiel collectif;bois;38;P5;1;6;0;6;6;6;0;374;482
Résidentiel collectif;bois;38;P6;2;10;0;7;0;0;0;939;1392
Résidentiel collectif;bois;39;P0;91;358;116;144;0;0;85;23197;34475
Résidentiel collectif;bois;39;P1;5;19;8;3;0;0;8;1309;1585
Résidentiel collectif;bois;39;P2;10;50;2;20;6;6;28;3361;5533
Résidentiel collectif;bois;39;P3;7;27;3;2;0;0;21;1259;1594
Résidentiel collectif;bois;39;P4;1;3;0;3;0;0;0;241;241
Résidentiel collectif;bois;40;P0;131;401;110;179;0;0;88;25664;33415
Résidentiel collectif;bois;40;P1;18;50;10;16;0;0;22;2654;3490
Résidentiel collectif;bois;40;P2;22;58;9;33;0;0;13;3312;4045
Résidentiel collectif;bois;40;P3;42;823;22;166;138;138;486;30494;34439
Résidentiel collectif;bois;40;P4;1;5;0;3;0;0;2;324;399
Résidentiel collectif;bois;40;P5;5;91;5;84;83;83;2;6477;7843
Résidentiel collectif;bois;41;P0;30;105;26;52;0;0;25;6452;9011
Résidentiel collectif;bois;41;P1;1;4;1;3;0;0;0;238;339
Résidentiel collectif;bois;41;P4;2;19;3;16;11;11;0;1066;1078
Résidentiel collectif;bois;42;P0;68;265;84;111;18;18;69;16306;23467
Résidentiel collectif;bois;42;P1;5;16;6;5;0;0;5;957;1458
Résidentiel collectif;bois;42;P2;6;160;24;104;86;86;32;10303;14377
Résidentiel collectif;bois;42;P3;2;4;2;0;0;0;2;356;418
Résidentiel collectif;bois;42;P6;1;13;0;0;0;0;13;1039;1379
Résidentiel collectif;bois;43;P0;41;151;60;67;12;12;22;8164;12227
Résidentiel collectif;bois;43;P1;3;6;4;1;0;0;1;564;1085
Résidentiel collectif;bois;43;P2;9;23;7;8;0;0;6;1518;2197
Résidentiel collectif;bois;43;P3;7;85;7;15;0;0;4;3129;4831
Résidentiel collectif;bois;44;P0;24;129;33;76;0;0;16;5104;7111
Résidentiel collectif;bois;44;P1;4;19;2;15;0;0;1;840;1152
Résidentiel collectif;bois;44;P2;11;69;14;33;7;0;17;5183;7045
Résidentiel collectif;bois;44;P3;3;27;2;11;0;0;14;1765;1975
Résidentiel collectif;bois;44;P4;1;16;1;6;0;0;9;1226;1470
Résidentiel collectif;bois;44;P5;3;67;6;50;45;45;11;4644;6376
Résidentiel collectif;bois;44;P6;8;136;6;101;88;88;29;9351;12319
Résidentiel collectif;bois;45;P0;138;578;146;317;15;15;112;25533;36393
Résidentiel collectif;bois;45;P1;7;31;4;14;0;0;13;1301;2011
Résidentiel collectif;bois;45;P2;3;10;3;4;0;0;3;900;1295
Résidentiel collectif;bois;45;P3;4;106;7;92;79;79;7;7169;8489
Résidentiel collectif;bois;45;P5;1;60;10;46;0;0;4;3281;4429
Résidentiel collectif;bois;46;P0;23;88;27;54;11;11;6;4048;5580
Résidentiel collectif;bois;46;P1;3;7;0;4;0;0;3;408;526
Résidentiel collectif;bois;46;P2;3;21;2;19;19;19;0;1320;1647
Résidentiel collectif;bois;46;P3;4;13;3;5;0;0;5;884;1025
Résidentiel collectif;bois;46;P4;1;6;1;5;0;0;0;621;704
Résidentiel collectif;bois;46;P5;1;4;0;0;0;0;4;281;301
Résidentiel collectif;bois;47;P0;32;107;33;64;0;0;10;4897;6592
Résidentiel collectif;bois;47;P1;1;2;0;0;0;0;2;64;64
Résidentiel collectif;bois;47;P2;2;9;2;6;0;0;0;454;650
Résidentiel collectif;bois;47;P3;3;17;6;10;11;11;1;773;814
Résidentiel collectif;bois;47;P4;1;3;1;2;0;0;0;184;184
Résidentiel collectif;bois;48;P0;16;50;14;17;0;0;14;2784;4796
Résidentiel collectif;bois;48;P2;5;22;8;6;0;0;3;1313;1535
Résidentiel collectif;bois;48;P3;2;5;0;0;0;0;5;289;299
Résidentiel collectif;bois;48;P6;1;24;1;22;24;24;1;1979;2294
Résidentiel collectif;bois;49;P0;28;106;13;74;0;0;18;4912;6610
Résidentiel collectif;bois;49;P1;1;12;3;9;12;12;0;936;1115
Résidentiel collectif;bois;49;P3;3;11;2;5;3;0;4;808;1063
Résidentiel collectif;bois;49;P4;2;13;0;11;0;0;2;576;717
Résidentiel collectif;bois;49;P5;4;249;7;242;235;235;0;8776;13197
Résidentiel collectif;bois;49;P6;1;35;0;35;35;35;0;2145;2842
Résidentiel collectif;bois;50;P0;20;67;11;44;0;0;12;3163;4039
Résidentiel collectif;bois;50;P1;3;7;1;3;0;0;3;237;416
Résidentiel collectif;bois;50;P2;8;46;20;23;11;11;2;2004;2558
Résidentiel collectif;bois;50;P6;1;4;1;3;0;0;0;283;353
Résidentiel collectif;bois;51;P0;133;566;152;316;0;0;94;29370;39723
Résidentiel collectif;bois;51;P1;10;54;18;26;0;0;10;3094;4255
Résidentiel collectif;bois;51;P2;8;65;11;51;40;40;3;3289;4202
Résidentiel collectif;bois;51;P3;6;42;11;21;0;0;9;2382;3039
Résidentiel collectif;bois;51;P4;2;6;1;5;0;0;0;177;210
Résidentiel collectif;bois;51;P5;1;17;3;14;17;17;0;1266;1918
Résidentiel collectif;bois;51;P6;3;167;15;146;151;151;6;11471;15018
Résidentiel collectif;bois;52;P0;15;50;14;32;5;5;2;2922;3623
Résidentiel collectif;bois;52;P4;2;33;4;29;30;30;0;2932;3857
Résidentiel collectif;bois;52;P6;1;5;0;3;0;0;2;384;740
Résidentiel collectif;bois;53;P0;17;71;28;35;0;0;7;3365;4955
Résidentiel collectif;bois;53;P1;2;16;10;6;0;0;0;313;614
Résidentiel collectif;bois;53;P3;2;13;1;12;13;13;0;829;899
Résidentiel collectif;bois;54;P0;76;314;63;198;1;1;49;19541;28770
Résidentiel collectif;bois;54;P1;15;76;9;47;21;21;17;4365;6398
Résidentiel collectif;bois;54;P2;4;24;3;15;0;0;5;1770;2367
