Model;Scenario;Region;Variable;Unit;Dpe;Ef_Nrj;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
CSTB;AMB_construction_SNBC;France;Residential_dwelling;MtCO2eq;new;rcu;0.003941210505242909;0.0077530365808829655;0.013517117692505038;0.016974162364076777;0.022327409279981038;0.025414174622705375;0.028338311061510846;0.031095136431165894;0.033679979205816085;0.037978621587313896;0.040142480229856635;0.04124946565290177;0.04306871013374862;0.044692773980996366;0.04611704950505348;0.04655459918518439;0.04759844696198113;0.0484286597565381;0.048332075103734544;0.0480717935695257;0.04830157756473128;0.047669761913962175;0.04686353282114158;0.04587931809938742;0.04471354556181762;0.04336264302155013;0.041823038291702856;0.04009115918539375;0.038163433515740745;0.036036289095861755;0.03370615373887472
CSTB;BAU_construction_Constant;France;Collective_dwelling;MtCO2eq;new;elec;0.012756486628263912;0.025512973256527825;0.04208950323261783;0.05484598986088174;0.07142251983697175;0.08417900646523567;0.09693549309349958;0.1096919797217635;0.12244846635002743;0.13902499632611742;0.15178148295438135;0.16071792623481918;0.1734744128630831;0.18623089949134702;0.19898738611961095;0.20792382940004872;0.22068031602831265;0.23343680265657657;0.2423732459370144;0.2513096892174523;0.2640661758457162;0.273002619126154;0.28193906240659183;0.29087550568702963;0.29981194896746743;0.30874839224790523;0.3176848355283431;0.3266212788087809;0.33555772208921875;0.34449416536965655;0.3534306086500944
CSTB;BAU_construction_Constant;France;Collective_dwelling;MtCO2eq;new;rcu;0.007161667458749999;0.014323334917499998;0.02362962737625;0.030791294834999997;0.040097587293749994;0.0472592547525;0.05442092221125;0.06158258967;0.06874425712875;0.07805054958749999;0.08521221704624998;0.09022925950499998;0.09739092696374997;0.10455259442249996;0.11171426188124997;0.11673130433999995;0.12389297179874996;0.13105463925749994;0.13607168171624995;0.14108872417499996;0.14825039163374995;0.15326743409249996;0.15828447655124997;0.16330151900999998;0.16831856146875;0.1733356039275;0.17835264638625;0.18336968884500002;0.18838673130375003;0.19340377376250004;0.19842081622125005
CSTB;BAU_construction_Constant;France;Individual_dwelling;MtCO2eq;new;bois;0.00196965599061;0.00393931198122;0.006498798971830001;0.008468454962440001;0.011027941953050003;0.012997597943660002;0.014967253934270003;0.016936909924880006;0.018906565915490007;0.02146605290610001;0.023435708896710008;0.024815533887320006;0.02678518987793001;0.028754845868540012;0.03072450185915001;0.03210432684976001;0.034073982840370005;0.03604363883098;0.03742346382159001;0.0388032888122;0.04077294480281;0.042152769793419996;0.04353259478402999;0.04491241977463999;0.04629224476524999;0.04767206975585998;0.04905189474646998;0.05043171973707998;0.05181154472768998;0.05319136971829998;0.054571194708909976
CSTB;BAU_construction_Constant;France;Individual_dwelling;MtCO2eq;new;elec;0.006721045029427827;0.013442090058855653;0.022175811783935656;0.028896856813363483;0.03763057853844348;0.04435162356787131;0.051072668597299135;0.057793713626726965;0.06451475865615477;0.07324848038123478;0.07996952541066261;0.08467789374443827;0.09139893877386608;0.09811998380329393;0.10484102883272176;0.1095493971664974;0.11627044219592524;0.12299148722535305;0.12769985555912872;0.13240822389290435;0.13912926892233216;0.14383763725610785;0.14854600558988348;0.15325437392365912;0.15796274225743476;0.1626711105912104;0.16737947892498603;0.17208784725876167;0.1767962155925373;0.18150458392631294;0.1862129522600886
CSTB;BAU_construction_Constant;France;Residential_dwelling;MtCO2eq;new;bois;0.00196965599061;0.00393931198122;0.006498798971830001;0.008468454962440001;0.011027941953050003;0.012997597943660002;0.014967253934270003;0.016936909924880006;0.018906565915490007;0.02146605290610001;0.023435708896710008;0.024815533887320006;0.02678518987793001;0.028754845868540012;0.03072450185915001;0.03210432684976001;0.034073982840370005;0.03604363883098;0.03742346382159001;0.0388032888122;0.04077294480281;0.042152769793419996;0.04353259478402999;0.04491241977463999;0.04629224476524999;0.04767206975585998;0.04905189474646998;0.05043171973707998;0.05181154472768998;0.05319136971829998;0.054571194708909976
CSTB;BAU_construction_Constant;France;Residential_dwelling;MtCO2eq;new;elec;0.01947753165769174;0.03895506331538348;0.06426531501655347;0.08374284667424521;0.10905309837541523;0.12853063003310694;0.1480081616907987;0.16748569334849042;0.18696322500618218;0.21227347670735217;0.23175100836504392;0.24539581997925738;0.26487335163694914;0.2843508832946409;0.30382841495233265;0.3174732265665461;0.33695075822423787;0.35642828988192965;0.3700731014961431;0.3837179131103566;0.4031954447680483;0.41684025638226174;0.43048506799647523;0.44412987961068867;0.45777469122490216;0.4714195028391156;0.4850643144533291;0.49870912606754253;0.512353937681756;0.5259987492959695;0.539643560910183
CSTB;BAU_construction_Constant;France;Residential_dwelling;MtCO2eq;new;rcu;0.007161667458749999;0.014323334917499998;0.02362962737625;0.030791294834999997;0.040097587293749994;0.0472592547525;0.05442092221125;0.06158258967;0.06874425712875;0.07805054958749999;0.08521221704624998;0.09022925950499998;0.09739092696374997;0.10455259442249996;0.11171426188124997;0.11673130433999995;0.12389297179874996;0.13105463925749994;0.13607168171624995;0.14108872417499996;0.14825039163374995;0.15326743409249996;0.15828447655124997;0.16330151900999998;0.16831856146875;0.1733356039275;0.17835264638625;0.18336968884500002;0.18838673130375003;0.19340377376250004;0.19842081622125005
CSTB;BAU_construction_Half;France;Collective_dwelling;MtCO2eq;new;elec;0.012756486628263912;0.023315898230921738;0.03795442739045326;0.04879243748362063;0.06267308357170948;0.07284587591489575;0.0827092257134569;0.09226313296739315;0.10150759767670414;0.11356303507728249;0.12214228203661268;0.12738433653688672;0.1353910310676973;0.14308828305388277;0.1504760924954435;0.1547120401208713;0.16152729713391228;0.16803311160232862;0.17152606223680444;0.17480223564811687;0.18047238780411917;0.1832686741083743;0.18584818318946553;0.18821091504739335;0.19035686968215826;0.19228604709375918;0.1939984472821967;0.19549407024747073;0.19677291598958196;0.19783498450852918;0.19868027580431294
CSTB;BAU_construction_Half;France;Collective_dwelling;MtCO2eq;new;rcu;0.007161667458749999;0.013979574879479999;0.022764294125436898;0.029275089006573125;0.03761706758323307;0.043739255088175936;0.04968067222829757;0.05544131900359878;0.06102119541407863;0.0682969222873244;0.07348819132161073;0.07667620245659343;0.08153299740779046;0.08620902199416587;0.09070427621572125;0.0933045391241793;0.09746531926264417;0.10144532903628826;0.1036115474364907;0.10565112876497586;0.10914296073726074;0.11090220127575932;0.1125348047425404;0.11404077113760418;0.11542010046095041;0.11667279271257922;0.11779884789249077;0.1187982660006849;0.11967104703716147;0.12041719100192064;0.12103669789496253
